id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
2011.15012,Peter Morfe,Peter S. Morfe,Homogenization of the Allen-Cahn equation with periodic mobility,,,,,math.AP,http://creativecommons.org/licenses/by/4.0/,"  We analyze the sharp interface limit for the Allen-Cahn equation with an
anisotropic, spatially periodic mobility coefficient and prove that the
large-scale behavior of interfaces is determined by mean curvature flow with an
effective mobility. Formally, the result follows from the asymptotics developed
by Barles and Souganidis for bistable reaction-diffusion equations with
periodic coefficients. However, we show that the corresponding cell problem is
actually ill-posed when the normal direction is rational. To circumvent this
issue, a number of new ideas are needed, both in the construction of mesoscopic
sub- and supersolutions controlling the large-scale behavior of interfaces and
in the proof that the interfaces obtained in the limit are actually described
by the effective equation.
","[{'version': 'v1', 'created': 'Mon, 30 Nov 2020 17:14:56 GMT'}]",2020-12-01,"[['Morfe', 'Peter S.', '']]"
1101.2988,Muhammad Ramzan,M. Ramzan and M. K. Khan,Quantum memory in non-inertial frames,"20 pages, 7 .eps figures, 1 table",,,,quant-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We study the effect of quantum memory in non-inertial frames under the
influence of amplitude damping, depolarizing, phase flip and bit-phase flip
channels. It is shown that the entanglement of initial state is heavily
influenced by quantum correlations. It is seen that quantum memory compensates
the loss of entanglement generated caused by the Unruh effect. It is
interesting to note that the sudden death of entanglement disappears for any
acceleration for higher values of memory. Therefore, it is possible to avoid
ESD in non-inertial frames due to the presence of quantum memory. Furthermore,
the degree of entanglement is enhanced as we increase the degree of memory and
it maximizes for maximum correlations.
","[{'version': 'v1', 'created': 'Sat, 15 Jan 2011 13:31:50 GMT'}, {'version': 'v2', 'created': 'Sat, 5 Mar 2011 17:49:18 GMT'}]",2011-03-08,"[['Ramzan', 'M.', ''], ['Khan', 'M. K.', '']]"
0912.4935,Minghui Jiang,Minghui Jiang,Inapproximability of maximal strip recovery,"A preliminary version of this paper appeared in two parts in the
  Proceedings of the 20th International Symposium on Algorithms and Computation
  (ISAAC 2009) and the Proceedings of the 4th International Frontiers of
  Algorithmics Workshop (FAW 2010)",,10.1007/978-3-642-14553-7_8,,cs.CC,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In comparative genomic, the first step of sequence analysis is usually to
decompose two or more genomes into syntenic blocks that are segments of
homologous chromosomes. For the reliable recovery of syntenic blocks, noise and
ambiguities in the genomic maps need to be removed first. Maximal Strip
Recovery (MSR) is an optimization problem proposed by Zheng, Zhu, and Sankoff
for reliably recovering syntenic blocks from genomic maps in the midst of noise
and ambiguities. Given $d$ genomic maps as sequences of gene markers, the
objective of \msr{d} is to find $d$ subsequences, one subsequence of each
genomic map, such that the total length of syntenic blocks in these
subsequences is maximized. For any constant $d \ge 2$, a polynomial-time
2d-approximation for \msr{d} was previously known. In this paper, we show that
for any $d \ge 2$, \msr{d} is APX-hard, even for the most basic version of the
problem in which all gene markers are distinct and appear in positive
orientation in each genomic map. Moreover, we provide the first explicit lower
bounds on approximating \msr{d} for all $d \ge 2$. In particular, we show that
\msr{d} is NP-hard to approximate within $\Omega(d/\log d)$. From the other
direction, we show that the previous 2d-approximation for \msr{d} can be
optimized into a polynomial-time algorithm even if $d$ is not a constant but is
part of the input. We then extend our inapproximability results to several
related problems including \cmsr{d}, \gapmsr{\delta}{d}, and
\gapcmsr{\delta}{d}.
","[{'version': 'v1', 'created': 'Fri, 25 Dec 2009 03:25:15 GMT'}, {'version': 'v2', 'created': 'Mon, 11 Jan 2010 16:18:33 GMT'}, {'version': 'v3', 'created': 'Wed, 13 Jan 2010 17:23:39 GMT'}, {'version': 'v4', 'created': 'Fri, 4 Jun 2010 17:16:01 GMT'}]",2015-05-14,"[['Jiang', 'Minghui', '']]"
1602.06056,Jiaji Zhou,"Jiaji Zhou, Robert Paolini, J. Andrew Bagnell and Matthew T. Mason","A Convex Polynomial Force-Motion Model for Planar Sliding:
  Identification and Application",2016 IEEE International Conference on Robotics and Automation (ICRA),,,,cs.RO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We propose a polynomial force-motion model for planar sliding. The set of
generalized friction loads is the 1-sublevel set of a polynomial whose gradient
directions correspond to generalized velocities. Additionally, the polynomial
is confined to be convex even-degree homogeneous in order to obey the maximum
work inequality, symmetry, shape invariance in scale, and fast invertibility.
We present a simple and statistically-efficient model identification procedure
using a sum-of-squares convex relaxation. Simulation and robotic experiments
validate the accuracy and efficiency of our approach. We also show practical
applications of our model including stable pushing of objects and free sliding
dynamic simulations.
","[{'version': 'v1', 'created': 'Fri, 19 Feb 2016 07:07:54 GMT'}, {'version': 'v2', 'created': 'Fri, 20 May 2016 12:54:26 GMT'}, {'version': 'v3', 'created': 'Thu, 16 Jun 2016 03:28:59 GMT'}]",2016-06-17,"[['Zhou', 'Jiaji', ''], ['Paolini', 'Robert', ''], ['Bagnell', 'J. Andrew', ''], ['Mason', 'Matthew T.', '']]"
2110.04819,Sourav Pal,Sourav Pal and Samriddho Roy,"A Schwarz lemma for the symmetrized polydisc via estimates on another
  family of domains","31 Pages. arXiv admin note: substantial text overlap with
  arXiv:1904.03745",,,,math.CV,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We make some sharp estimates to obtain a Schwarz lemma for the
\textit{symmetrized polydisc} $\mathbb G_n$, a family of domains naturally
associated with the spectral interpolation, defined by \[ \mathbb G_n :=\left\{
\left(\sum_{1\leq i\leq n} z_i,\sum_{1\leq i<j\leq n}z_iz_j \dots,
\prod_{i=1}^n z_i \right): \,|z_i|<1, i=1,\dots,n \right \}. \] We first make a
few estimates for the \textit{the extended symmetrized polydisc}
$\widetilde{\mathbb G}_n$, a family of domains introduced in \cite{pal-roy 4}
and defined in the following way: \begin{align*} \widetilde{\mathbb G}_n :=
\Bigg\{ (y_1,\dots,y_{n-1}, q)\in \C^n :\; q \in \mathbb D, \; y_j = \be_j +
\bar \be_{n-j} q, \; \beta_j \in \mathbb C &\text{ and }\\ |\beta_j|+
|\beta_{n-j}| < {n \choose j} &\text{ for } j=1,\dots, n-1 \Bigg\}.
\end{align*} We then show that these estimates are sharp and provide a Schwarz
lemma for $\Gn$. It is easy to verify that $\mathbb G_n=\widetilde{\mathbb
G}_n$ for $n=1,2$ and that ${\mathbb G}_n \subsetneq \widetilde{\mathbb G}_n$
for $n\geq 3$. As a consequence of the estimates for $\widetilde{\mathbb G_n}$,
we have analogous estimates for $\mathbb G_n$. Since for a point $(s_1,\dots,
s_{n-1},p)\in \mathbb G_n$, ${n \choose i}$ is the least upper bound for
$|s_i|$, which is same for $|y_i|$ for any $(y_1,\dots ,y_{n-1},q) \in
\widetilde{\mathbb G_n}$, $1\leq i \leq n-1$, the estimates become sharp for
$\mathbb G_n$ too. We show that these conditions are necessary and sufficient
for $\widetilde{\mathbb G_n}$ when $n=1,2, 3$. In particular for $n=2$, our
results add a few new necessary and sufficient conditions to the existing
Schwarz lemma for the symmetrized bidisc.
","[{'version': 'v1', 'created': 'Sun, 10 Oct 2021 15:14:59 GMT'}]",2021-10-12,"[['Pal', 'Sourav', ''], ['Roy', 'Samriddho', '']]"
1006.3020,James Nastos,James Nastos and Yong Gao,"Bounded Search Tree Algorithms for Parameterized Cograph Deletion:
  Efficient Branching Rules by Exploiting Structures of Special Graph Classes","23 pages. Accepted in Discrete Mathematics, Algorithms and
  Applications (DMAA)",,10.1007/978-3-642-17461-2_27,,cs.DM cs.DS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Many fixed-parameter tractable algorithms using a bounded search tree have
been repeatedly improved, often by describing a larger number of branching
rules involving an increasingly complex case analysis. We introduce a novel and
general search strategy that branches on the forbidden subgraphs of a graph
class relaxation. By using the class of $P_4$-sparse graphs as the relaxed
graph class, we obtain efficient bounded search tree algorithms for several
parameterized deletion problems. We give the first non-trivial bounded search
tree algorithms for the cograph edge-deletion problem and the trivially perfect
edge-deletion problems. For the cograph vertex deletion problem, a refined
analysis of the runtime of our simple bounded search algorithm gives a faster
exponential factor than those algorithms designed with the help of complicated
case distinctions and non-trivial running time analysis [21] and computer-aided
branching rules [11].
","[{'version': 'v1', 'created': 'Tue, 15 Jun 2010 16:03:13 GMT'}, {'version': 'v2', 'created': 'Tue, 29 Nov 2011 22:46:08 GMT'}]",2015-05-19,"[['Nastos', 'James', ''], ['Gao', 'Yong', '']]"
1206.1561,Rinaldo Trotta,"R. Trotta, E. Zallo, C. Ortix, P. Atkinson, J. D. Plumhof, J. van den
  Brink, A. Rastelli, and O. G. Schmidt","Universal recovery of the bright-exciton level-degeneracy in quantum
  dots without structural symmetry","17 pages, 4 figures",,,,cond-mat.mtrl-sci quant-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  The lack of structural symmetry which usually characterizes semiconductor
quantum dots lifts the energetic degeneracy of the bright excitonic states and
hampers severely their use as high fidelity sources of entangled photons. We
demonstrate experimentally and theoretically that it is always possible to
restore the excitonic degeneracy by the simultaneous application of large
strain and electric fields, despite the fact that this possibility has
fundamentally been doubted. This is achieved by using one external perturbation
to align the polarization of the exciton emission along the axis of the second
perturbation, which then erases completely the energy splitting of the states.
This result, which holds for any QD structure, highlights the potential of
combining complementary external fields to create artificial atoms meeting the
stringent requirements posed by scalable semiconductor-based
quantum-technology.
","[{'version': 'v1', 'created': 'Thu, 7 Jun 2012 17:45:24 GMT'}]",2012-06-08,"[['Trotta', 'R.', ''], ['Zallo', 'E.', ''], ['Ortix', 'C.', ''], ['Atkinson', 'P.', ''], ['Plumhof', 'J. D.', ''], ['Brink', 'J. van den', ''], ['Rastelli', 'A.', ''], ['Schmidt', 'O. G.', '']]"
2109.14066,Sergey Khrapak,S. A. Khrapak and A. G. Khrapak,"Transport properties of Lennard-Jones fluids: Freezing density scaling
  along isotherms","6 pages, 4 figures","Physical Review E 103, 042122 (2021)",10.1103/PhysRevE.103.042122,,cond-mat.soft cond-mat.stat-mech physics.chem-ph physics.flu-dyn,http://creativecommons.org/licenses/by/4.0/,"  It is demonstrated that properly reduced transport coefficients
(self-diffusion, shear viscosity, and thermal conductivity) of Lennard-Jones
fluids along isotherms exhibit quasi-universal scaling on the density divided
by its value at the freezing point. Moreover, this scaling is closely related
to the density scaling of transport coefficients of hard-sphere fluids. The
Stokes-Einstein relation without the hydrodynamic diameter is valid in the
dense fluid regime. The lower density boundary of its validity can serve as a
practical demarcation line between gas-like and liquid-like regimes.
","[{'version': 'v1', 'created': 'Tue, 28 Sep 2021 22:01:56 GMT'}]",2021-09-30,"[['Khrapak', 'S. A.', ''], ['Khrapak', 'A. G.', '']]"
1701.04804,Tevong You,"John Ellis, Philipp Roloff, Veronica Sanz, Tevong You",Dimension-6 Operator Analysis of the CLIC Sensitivity to New Physics,"20 pages, 6 figures",,10.1007/JHEP05(2017)096,"KCL-PH-TH/2017-04, CERN-PH-TH/2017-009, Cavendish-HEP-17/01,
  DAMTP-2017-01",hep-ph hep-ex,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We estimate the possible accuracies of measurements at the proposed CLIC
$e^+e^-$ collider of Higgs and $W^+W^-$ production at centre-of-mass energies
up to 3TeV, incorporating also Higgsstrahlung projections at higher energies
that had not been considered previously, and use them to explore the
prospective CLIC sensitivities to decoupled new physics. We present the
resulting constraints on the Wilson coefficients of dimension-6 operators in a
model-independent approach based on the Standard Model effective field theory
(SM EFT). The higher centre-of-mass energy of CLIC, compared to other projects
such as the ILC and CEPC, gives it greater sensitivity to the coefficients of
some of the operators we study. We find that CLIC Higgs measurements may be
sensitive to new physics scales $\Lambda = \mathcal{O}(10)$TeV for individual
operators, reduced to $\mathcal{O}(1)$ TeV sensitivity for a global fit
marginalising over the coefficients of all contributing operators. We give some
examples of the corresponding prospective constraints on specific scenarios for
physics beyond the SM, including stop quarks and the dilaton/radion.
","[{'version': 'v1', 'created': 'Tue, 17 Jan 2017 18:36:16 GMT'}]",2017-08-23,"[['Ellis', 'John', ''], ['Roloff', 'Philipp', ''], ['Sanz', 'Veronica', ''], ['You', 'Tevong', '']]"
1405.3470,Maria Mansurova Ms.,"Frederik Busse, Maria Mansurova, Benjamin Lenk, Marvin Walter, Markus
  M\""unzenberg",Generation of magnonic spin wave traps,,,,,cond-mat.mtrl-sci cond-mat.mes-hall,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Spatially resolved measurements of the magnetization dynamics induced by an
intense laser pump-pulse reveal that the frequencies of resulting spin wave
modes depend strongly on the distance to the pump center. This can be
attributed to a laser generated temperature profile. On a CoFeB thin film
magnonic crystal, Damon-Eshbach modes are expected to propagate away from the
point of excitation. The experiments show that this propagation is frustrated
by the strong temperature gradient
","[{'version': 'v1', 'created': 'Wed, 14 May 2014 12:39:22 GMT'}]",2014-05-15,"[['Busse', 'Frederik', ''], ['Mansurova', 'Maria', ''], ['Lenk', 'Benjamin', ''], ['Walter', 'Marvin', ''], ['Münzenberg', 'Markus', '']]"
2210.06165,Barbara Perri,"Barbara Perri, Blazej Kuzma, Michaela Brchnelova, Tinatin
  Baratashvili, Fan Zhang, Peter Leitner, Andrea Lani and Stefaan Poedts","COCONUT, a novel fast-converging MHD model for solar corona simulations:
  II. Assessing the impact of the input magnetic map on space-weather
  forecasting at minimum of activity","27 pages, 11 figures, Accepted in ApJ",,10.3847/1538-4357/ac9799,,astro-ph.SR astro-ph.IM physics.space-ph,http://creativecommons.org/licenses/by/4.0/,"  This paper is dedicated to the new implicit unstructured coronal code
COCONUT, which aims at providing fast and accurate inputs for space weather
forecast as an alternative to empirical models. We use all 20 available
magnetic maps of the solar photosphere covering the date of the 2nd of July
2019 which corresponds to a solar eclipse on Earth. We use the same standard
pre-processing on all maps, then perform coronal MHD simulations with the same
numerical and physical parameters. In the end, we quantify the performance for
each map using three indicators from remote-sensing observations: white-light
total solar eclipse images for the streamers' edges, EUV synoptic maps for
coronal holes and white-light coronagraph images for the heliospheric current
sheet. We discuss the performance for space weather forecasts and we show that
the choice of the input magnetic map has a strong impact. We find performances
between 24% to 85% for the streamers' edges, 24% to 88% for the coronal hole
boundaries and a mean deviation between 4 to 12 degrees for the heliospheric
current sheet position. We find that the HMI runs are globally performing
better on all indicators, with the GONG-ADAPT being the second-best choice. HMI
runs perform better for the streamers' edges, GONG-ADAPT for polar coronal
holes, HMI synchronic for equatorial coronal holes and for the streamer belt.
We especially showcase the importance of the filling of the poles. This
demonstrates that the solar poles have to be taken into account even for
ecliptic plane previsions.
","[{'version': 'v1', 'created': 'Wed, 12 Oct 2022 13:06:41 GMT'}]",2023-02-08,"[['Perri', 'Barbara', ''], ['Kuzma', 'Blazej', ''], ['Brchnelova', 'Michaela', ''], ['Baratashvili', 'Tinatin', ''], ['Zhang', 'Fan', ''], ['Leitner', 'Peter', ''], ['Lani', 'Andrea', ''], ['Poedts', 'Stefaan', '']]"
1102.1474,Umberto Hryniewicz,Umberto Hryniewicz and Pedro A. S. Salom\~ao,"Global properties of tight Reeb flows with applications to Finsler
  geodesic flows on $S^2$",27 pages,"Math. Proc. Cambridge Philos. Soc. 154 (2013), no. 1, 1-27",10.1017/S0305004112000333,,math.SG math.DG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We show that if a Finsler metric on $S^2$ with reversibility $r$ has flag
curvatures $K$ satisfying $(\frac{r}{r+1})^2 <K \leq 1$, then closed geodesics
with specific contact-topological properties cannot exist, in particular there
are no closed geodesics with precisely one transverse self-intersection point.
This is a special case of a more general phenomenon, and other closed geodesics
with many self-intersections are also excluded. We provide examples of Randers
type, obtained by suitably modifying the metrics constructed by Katok
\cite{katok}, proving that this pinching condition is sharp. Our methods are
borrowed from the theory of pseudo-holomorphic curves in symplectizations.
Finally, we study global dynamical aspects of 3-dimensional energy levels
$C^2$-close to $S^3$.
","[{'version': 'v1', 'created': 'Mon, 7 Feb 2011 23:46:16 GMT'}, {'version': 'v2', 'created': 'Sun, 16 Oct 2011 13:35:51 GMT'}]",2013-12-20,"[['Hryniewicz', 'Umberto', ''], ['Salomão', 'Pedro A. S.', '']]"
1806.06504,Ulugbek Yakhshiev,"Ki-Hoon Hong, Ulugbek Yakhshiev, Hyun-Chul Kim",Modification of hyperon masses in nuclear matter,"11 pages, 7 figures","Phys. Rev. C 99, 035212 (2019)",10.1103/PhysRevC.99.035212,INHA-NTG-06/2018,nucl-th hep-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We discuss the properties of baryons within the framework of the in-medium
modified SU(3) Skyrme model. The modification is performed by a minimal way,
the medium functionals in the SU(2) sector being introduced. These functionals
are then related to nuclear matter properties near the saturation point. The
modifications in the SU(3) sector are performed with the additional changes of
kaon properties in nuclear matter. The results show that the properties of
baryons in the strange sector are sensitive to the in-medium modifications of
the kaon properties. The consistency of the in-medium modifications of hadron
properties in the present approach with other model approaches and
phenomenological indications is also discussed.
","[{'version': 'v1', 'created': 'Mon, 18 Jun 2018 05:51:13 GMT'}, {'version': 'v2', 'created': 'Mon, 25 Feb 2019 07:55:31 GMT'}]",2019-04-03,"[['Hong', 'Ki-Hoon', ''], ['Yakhshiev', 'Ulugbek', ''], ['Kim', 'Hyun-Chul', '']]"
1911.07824,Rudrani Kar Chowdhury,"Rudrani Kar Chowdhury, Suchetana Chatterjee, Anto . I. Lonappan,
  Nishikanta Khandai, Tiziana DiMatteo","Cosmological Simulation of Galaxy Groups and Clusters-I: Global Effect
  of Feedback from Active Galactic Nuclei","11 pages, 8 figures, Accepted for publication at Astrophysical
  Journal","The Astrophysical Journal, Volume 889, Number 1, Year 2020",10.3847/1538-4357/ab5b96,,astro-ph.GA astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this study we quantify the properties of the gas and dark matter around
active galactic nuclei (AGN) in simulated galaxy groups and clusters and
analyze the effect of AGN feedback on the surrounding intra-cluster (group)
medium. Our results suggest downsizing of AGN luminosity with host halo mass,
supporting the results obtained from clustering studies of AGN. By examining
the temperature and density distribution of the gas in the vicinity of AGN we
show that due to feedback from the central engine, the gas gets displaced from
the centre of the group/cluster resulting in a reduction of the density but an
enhancement of temperature. We show that these effects are pronounced at both
high and low redshifts and propose new observables to study the effect of
feedback in higher redshift galaxies. We also show that the average stellar
mass is decreased in halos in the presence of AGN feedback confirming claims
from previous studies. Our work for the first time uses a fully
cosmological-hydrodynamic simulation to evaluate the global effects of AGN
feedback on their host dark matter halos as well as galaxies at scales of
galaxy groups and clusters.
","[{'version': 'v1', 'created': 'Mon, 18 Nov 2019 18:38:23 GMT'}]",2020-01-28,"[['Chowdhury', 'Rudrani Kar', ''], ['Chatterjee', 'Suchetana', ''], ['Lonappan', 'Anto . I.', ''], ['Khandai', 'Nishikanta', ''], ['DiMatteo', 'Tiziana', '']]"
1510.09142,Greg Wayne,"Nicolas Heess, Greg Wayne, David Silver, Timothy Lillicrap, Yuval
  Tassa, and Tom Erez",Learning Continuous Control Policies by Stochastic Value Gradients,"13 pages, NIPS 2015",,,,cs.LG cs.NE,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We present a unified framework for learning continuous control policies using
backpropagation. It supports stochastic control by treating stochasticity in
the Bellman equation as a deterministic function of exogenous noise. The
product is a spectrum of general policy gradient algorithms that range from
model-free methods with value functions to model-based methods without value
functions. We use learned models but only require observations from the
environment in- stead of observations from model-predicted trajectories,
minimizing the impact of compounded model errors. We apply these algorithms
first to a toy stochastic control problem and then to several physics-based
control problems in simulation. One of these variants, SVG(1), shows the
effectiveness of learning models, value functions, and policies simultaneously
in continuous domains.
","[{'version': 'v1', 'created': 'Fri, 30 Oct 2015 16:07:51 GMT'}]",2015-11-02,"[['Heess', 'Nicolas', ''], ['Wayne', 'Greg', ''], ['Silver', 'David', ''], ['Lillicrap', 'Timothy', ''], ['Tassa', 'Yuval', ''], ['Erez', 'Tom', '']]"
hep-th/9110067,Petr Horava,Petr Horava,Some Exact Solutions of String Theory in Four and Five Dimensions,14 pages,Phys.Lett. B278 (1992) 101-110,10.1016/0370-2693(92)90719-K,,hep-th,,"  We find several classes of exact classical solutions of critical bosonic
string theory, constructed as twisted products of one Euclidean and one
Minkowskian 2D black hole coset. One class of these solutions leads (after
tensoring with free scalars and supersymmetrizing) to a rotating version of the
recently discovered exact black fivebrane. Another class represents a
one-parameter family of axisymmetric stationary four-dimensional targets with
horizons. Global properties and target duality of the 4D solutions are briefly
analyzed.
","[{'version': 'v1', 'created': 'Thu, 24 Oct 1991 20:17:00 GMT'}]",2009-10-22,"[['Horava', 'Petr', '']]"
0812.1898,Guy Wallet,Guy Wallet (MIA),Contraction of a Generalized Metric Structure,20 pages,,,,math.GT math.MG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In some scientific fields, a scaling is able to modify the topology of an
observed object. Our goal in the present work is to introduce a new formalism
adapted to the mathematical representation of this kind of phenomenon. To this
end, we introduce a new metric structure - the galactic spaces - which depends
on an ordered field extension of R. Moreover, some natural transformations of
the category of galactic spaces, the contractions, are of particular interest:
they generalize usual homotheties, they have a ratio which may be an
infinitesimal, they are able to modify the topology and they satisfy a nice
composition rule. With the help of nonstandard extensions we can associate to
any metric space an infinite family of galactic spaces; lastly, we study some
limit properties of this family.
","[{'version': 'v1', 'created': 'Wed, 10 Dec 2008 12:14:43 GMT'}]",2008-12-11,"[['Wallet', 'Guy', '', 'MIA']]"
astro-ph/0205053,Alejandro Corsico,"O. G. Benvenuto, A. H. Corsico, L. G. Althaus and A. M. Serenelli",On mode trapping in pulsating DA white dwarf stars,"5 pages, 6 figures, to be published in MNRAS",Mon.Not.Roy.Astron.Soc. 335 (2002) 480,10.1046/j.1365-8711.2002.05633.x,,astro-ph,,"  The present work is designed to explore the effects of the time-dependent
element diffusion on the mode trapping properties of DA white dwarf models with
various thickness of the hydrogen envelope. Our predictions are compared with
the standard assumption of diffusive equilibrium in the trace element
approximation. We find that element diffusion markedly weakens the presence of
mode trapping originated in the outer layers of the models, even for the case
of thin hydrogen envelopes.
","[{'version': 'v1', 'created': 'Fri, 3 May 2002 20:25:56 GMT'}]",2009-11-07,"[['Benvenuto', 'O. G.', ''], ['Corsico', 'A. H.', ''], ['Althaus', 'L. G.', ''], ['Serenelli', 'A. M.', '']]"
gr-qc/0609008,Sean A. Hayward,Sean A. Hayward,Angular momentum conservation for dynamical black holes,"12 revtex4 pages, 3 eps figures. Version to be published, with minor
  improvements","Phys.Rev.D74:104013,2006",10.1103/PhysRevD.74.104013,,gr-qc,,"  Angular momentum can be defined by rearranging the Komar surface integral in
terms of a twist form, encoding the twisting around of space-time due to a
rotating mass, and an axial vector. If the axial vector is a coordinate vector
and has vanishing transverse divergence, it can be uniquely specified under
certain generic conditions. Along a trapping horizon, a conservation law
expresses the rate of change of angular momentum of a general black hole in
terms of angular momentum densities of matter and gravitational radiation. This
identifies the transverse-normal block of an effective gravitational-radiation
energy tensor, whose normal-normal block was recently identified in a
corresponding energy conservation law. Angular momentum and energy are dual
respectively to the axial vector and a previously identified vector, the
conservation equations taking the same form. Including charge conservation, the
three conserved quantities yield definitions of an effective energy, electric
potential, angular velocity and surface gravity, satisfying a dynamical version
of the so-called first law of black-hole mechanics. A corresponding zeroth law
holds for null trapping horizons, resolving an ambiguity in taking the null
limit.
","[{'version': 'v1', 'created': 'Mon, 4 Sep 2006 11:06:19 GMT'}, {'version': 'v2', 'created': 'Sat, 4 Nov 2006 04:57:41 GMT'}]",2008-11-26,"[['Hayward', 'Sean A.', '']]"
2308.05508,Wentao Ning,"Wentao Ning, Xiao Yan, Weiwen Liu, Reynold Cheng, Rui Zhang and Bo
  Tang","Multi-domain Recommendation with Embedding Disentangling and Domain
  Alignment",Accepted by CIKM'23 as a Long paper,,10.1145/3583780.3614977,,cs.IR cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Multi-domain recommendation (MDR) aims to provide recommendations for
different domains (e.g., types of products) with overlapping users/items and is
common for platforms such as Amazon, Facebook, and LinkedIn that host multiple
services. Existing MDR models face two challenges: First, it is difficult to
disentangle knowledge that generalizes across domains (e.g., a user likes cheap
items) and knowledge specific to a single domain (e.g., a user likes blue
clothing but not blue cars). Second, they have limited ability to transfer
knowledge across domains with small overlaps. We propose a new MDR method named
EDDA with two key components, i.e., embedding disentangling recommender and
domain alignment, to tackle the two challenges respectively. In particular, the
embedding disentangling recommender separates both the model and embedding for
the inter-domain part and the intra-domain part, while most existing MDR
methods only focus on model-level disentangling. The domain alignment leverages
random walks from graph processing to identify similar user/item pairs from
different domains and encourages similar user/item pairs to have similar
embeddings, enhancing knowledge transfer. We compare EDDA with 12
state-of-the-art baselines on 3 real datasets. The results show that EDDA
consistently outperforms the baselines on all datasets and domains. All
datasets and codes are available at https://github.com/Stevenn9981/EDDA.
","[{'version': 'v1', 'created': 'Thu, 10 Aug 2023 11:41:34 GMT'}, {'version': 'v2', 'created': 'Mon, 14 Aug 2023 01:48:12 GMT'}]",2023-08-15,"[['Ning', 'Wentao', ''], ['Yan', 'Xiao', ''], ['Liu', 'Weiwen', ''], ['Cheng', 'Reynold', ''], ['Zhang', 'Rui', ''], ['Tang', 'Bo', '']]"
1905.10158,Sebastiaan Paul Mulders,"Sebastiaan Paul Mulders, Tobias Gybel Hovgaard, Jacob Deleuran
  Grunnet, Jan-Willem van Wingerden","Preventing wind turbine tower natural frequency excitation with a
  quasi-LPV model predictive control scheme","21 pages, 13 figures, 1 table, Accepted to Wind Energy",,10.1002/we.2447,,cs.SY,http://creativecommons.org/licenses/by-nc-sa/4.0/,"  With the ever increasing power rates of wind turbines, more advanced control
techniques are needed to facilitate tall towers that are low-weight and cost
effective, but in effect more flexible. Such soft-soft tower configurations
generally have their fundamental side-side frequency in the below-rated
operational domain. Because the turbine rotor practically has or develops a
mass imbalance over time, a periodic and rotor-speed dependent side-side
excitation is present during below-rated operation. Persistent operation at the
coinciding tower and rotational frequency degrades the expected structural life
span. To reduce this effect, earlier work has shown the effectiveness of active
tower damping control strategies using collective pitch control. A more passive
approach is frequency skipping by inclusion of speed exclusion zones, which
avoids prolonged operation near the critical frequency. However, neither of the
methods incorporate a convenient way of performing a trade-off between energy
maximization and fatigue load minimization. Therefore, this paper introduces a
quasi-linear parameter varying model predictive control (qLPV-MPC) scheme,
exploiting the beneficial (convex) properties of a qLPV system description. The
qLPV model is obtained by a demodulation transformation, and is subsequently
augmented with a simple wind turbine model. Results show the effectiveness of
the algorithm in synthetic and realistic simulations using the NREL 5-MW
reference wind turbine in high-fidelity simulation code. Prolonged rotor speed
operation at the tower side-side natural frequency is prevented, whereas when
the trade-off is in favor of energy production, the algorithm decides to
rapidly pass over the natural frequency to attain higher rotor speeds and power
productions.
","[{'version': 'v1', 'created': 'Fri, 24 May 2019 11:33:34 GMT'}, {'version': 'v2', 'created': 'Sun, 12 Jan 2020 13:33:06 GMT'}]",2020-01-14,"[['Mulders', 'Sebastiaan Paul', ''], ['Hovgaard', 'Tobias Gybel', ''], ['Grunnet', 'Jacob Deleuran', ''], ['van Wingerden', 'Jan-Willem', '']]"
